home_goals_scored_L5,home_goals_conceded_L5,home_goal_diff_L5,home_goals_scored_L10,home_goals_conceded_L10,home_goal_diff_L10,home_shots_L5,home_shots_on_target_L5,home_shots_L10,home_shots_on_target_L10,home_corners_L5,home_corners_L10,home_fouls_L5,home_yellow_cards_L5,home_fouls_L10,home_yellow_cards_L10,away_goals_scored_L5,away_goals_conceded_L5,away_goal_diff_L5,away_goals_scored_L10,away_goals_conceded_L10,away_goal_diff_L10,away_shots_L5,away_shots_on_target_L5,away_shots_L10,away_shots_on_target_L10,away_corners_L5,away_corners_L10,away_fouls_L5,away_yellow_cards_L5,away_fouls_L10,away_yellow_cards_L10,home_win_streak,away_win_streak,home_form_L5,away_form_L5,h2h_home_wins,h2h_away_wins,goal_diff_interaction,form_interaction,shots_efficiency_home,shots_efficiency_away,FTR
1.6,1.8,-0.19999999999999996,1.5,1.4,0.10000000000000009,15.0,7.2,13.7,6.6,5.6,5.0,10.6,0.2,11.7,0.7,1.0,1.0,0.0,0.6,1.5,-0.9,8.6,4.6,8.2,4.5,5.4,5.1,12.0,1.2,12.2,1.2,2.0,3.0,6.0,4.0,0.0,1.0,-0.0,24.0,0.45,0.47916666666666663,D
2.8,0.4,2.4,2.5,0.4,2.1,11.6,8.2,12.1,8.3,5.4,5.6,12.6,1.4,14.0,1.7,1.4,1.6,-0.20000000000000018,1.2,1.5,-0.30000000000000004,9.0,3.8,7.9,3.5,7.6,6.4,12.8,2.2,12.3,1.8,3.0,2.0,10.0,7.0,0.0,0.0,-0.4800000000000004,70.0,0.6507936507936507,0.38,A
1.2,0.8,0.3999999999999999,1.0,1.2,-0.19999999999999996,12.8,7.4,12.2,5.9,6.0,5.6,14.8,1.0,14.6,1.4,2.0,0.4,1.6,1.9,0.5,1.4,14.4,8.2,15.3,8.7,3.6,5.2,11.2,2.2,12.3,2.4,2.0,5.0,7.0,0.0,1.0,0.0,0.6399999999999999,0.0,0.5362318840579711,0.5324675324675324,D
1.8,1.2,0.6000000000000001,1.5,1.0,0.5,13.6,5.0,14.3,6.7,6.6,6.9,12.4,1.4,15.4,1.4,1.4,1.2,0.19999999999999996,1.7,1.4,0.30000000000000004,14.6,7.0,12.9,6.7,5.4,5.2,13.4,1.4,13.6,1.7,3.0,2.0,10.0,5.0,0.0,1.0,0.12,50.0,0.3424657534246575,0.44871794871794873,H
1.8,0.0,1.8,1.6,0.4,1.2000000000000002,20.6,12.2,17.4,9.4,9.8,8.3,10.2,0.6,12.0,0.9,0.4,2.0,-1.6,0.6,1.7,-1.1,9.2,4.2,7.1,3.7,5.2,4.6,11.8,0.6,14.9,1.2,5.0,1.0,15.0,12.0,0.0,0.0,-2.8800000000000003,180.0,0.5648148148148148,0.411764705882353,D
1.4,1.2,0.19999999999999996,1.4,0.9,0.4999999999999999,10.0,4.4,12.8,6.1,5.8,5.5,15.8,1.4,14.4,1.4,0.8,1.6,-0.8,1.0,1.2,-0.19999999999999996,8.6,5.4,7.8,5.0,5.4,4.7,14.4,2.2,15.0,2.3,2.0,1.0,6.0,12.0,1.0,0.0,-0.15999999999999998,72.0,0.4,0.5625000000000001,H
0.6,0.8,-0.20000000000000007,0.6,1.0,-0.4,10.6,6.0,11.9,6.6,5.2,6.1,17.2,2.4,14.7,2.1,1.2,1.2,0.0,1.2,1.4,-0.19999999999999996,5.4,2.4,7.0,3.2,2.4,3.7,16.6,4.4,15.9,3.1,2.0,1.0,7.0,8.0,1.0,0.0,-0.0,56.0,0.5172413793103449,0.37499999999999994,D
1.0,0.6,0.4,1.3,1.1,0.19999999999999996,8.2,4.6,9.3,5.4,4.4,4.9,12.6,0.8,13.5,0.8,1.4,1.0,0.3999999999999999,1.1,1.1,0.0,10.2,5.2,8.3,4.8,7.2,4.9,13.8,2.2,15.7,2.8,2.0,3.0,7.0,6.0,1.0,0.0,0.15999999999999998,42.0,0.5,0.46428571428571436,H
1.0,0.8,0.19999999999999996,1.0,0.9,0.09999999999999998,9.6,3.8,10.6,5.4,4.6,5.6,17.2,1.2,16.6,1.4,0.4,3.4,-3.0,0.8,2.3,-1.4999999999999998,8.0,4.2,7.9,4.7,3.2,3.6,16.6,1.4,13.0,1.5,2.0,0.0,8.0,15.0,0.0,0.0,-0.5999999999999999,120.0,0.3584905660377358,0.4666666666666667,H
1.2,2.4,-1.2,1.4,1.5,-0.10000000000000009,8.0,3.8,9.8,4.8,3.6,4.5,12.8,1.8,12.9,1.5,1.0,2.0,-1.0,0.9,1.7,-0.7999999999999999,7.4,3.6,6.4,3.4,4.0,3.8,15.6,2.0,15.5,2.0,1.0,1.0,3.0,12.0,0.0,0.0,1.2,36.0,0.4222222222222222,0.42857142857142855,H
1.4,2.0,-0.6000000000000001,1.7,1.7,0.0,10.2,5.8,11.8,6.7,6.8,6.5,12.2,1.4,12.6,1.6,1.4,1.2,0.19999999999999996,1.3,1.6,-0.30000000000000004,8.2,4.2,8.9,4.8,5.0,5.3,15.4,3.0,14.8,2.1,0.0,1.0,3.0,4.0,0.0,1.0,-0.12,12.0,0.5178571428571429,0.4565217391304348,A
1.6,0.6,1.0,1.3,0.4,0.9,11.0,7.4,12.7,6.9,5.6,6.1,13.8,1.4,13.1,1.2,1.0,1.8,-0.8,1.2,1.3,-0.10000000000000009,9.8,4.8,9.2,4.8,4.4,4.4,11.6,1.4,13.5,1.3,3.0,2.0,11.0,9.0,1.0,0.0,-0.8,99.0,0.6166666666666667,0.4444444444444444,D
1.2,2.0,-0.8,0.9,1.3,-0.4,11.4,5.6,11.2,6.2,5.8,7.5,15.6,2.4,15.9,2.1,1.6,2.0,-0.3999999999999999,1.2,1.6,-0.40000000000000013,12.6,6.0,9.9,5.0,6.2,5.0,13.0,2.0,14.0,2.6,2.0,1.0,6.0,10.0,1.0,0.0,0.31999999999999995,60.0,0.4516129032258064,0.4411764705882353,H
2.6,0.4,2.2,2.0,0.6,1.4,15.0,8.6,15.1,7.9,6.4,6.5,12.2,1.4,12.9,1.4,0.6,1.4,-0.7999999999999999,0.7,1.4,-0.7,9.0,3.6,9.5,3.9,4.8,4.6,12.0,2.0,12.7,1.9,4.0,0.0,13.0,13.0,0.0,1.0,-1.76,169.0,0.5375,0.36,H
2.2,0.8,1.4000000000000001,1.3,1.2,0.10000000000000009,10.6,5.6,11.5,5.8,6.4,6.9,11.4,0.6,11.8,0.7,0.2,0.8,-0.6000000000000001,0.7,1.1,-0.40000000000000013,11.2,5.0,11.4,6.0,4.8,4.3,13.2,1.6,12.9,1.9,3.0,1.0,10.0,10.0,1.0,0.0,-0.8400000000000002,100.0,0.48275862068965514,0.4098360655737705,A
