FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,homeTeamID,awayTeamID,RecentGoalAvg_Home,RecentGoalAvg_Away,WinStreak_Home,WinStreak_Away,LosingStreak_Home,LosingStreak_Away,HS_RollingAvg_Home,HS_RollingAvg_Away,HST_RollingAvg_Home,HST_RollingAvg_Away,HC_RollingAvg_Home,HC_RollingAvg_Away,HF_RollingAvg_Home,HF_RollingAvg_Away,HY_RollingAvg_Home,HY_RollingAvg_Away,FTHG_RollingAvg_Home,FTHG_RollingAvg_Away,FTAG_RollingAvg_Home,FTAG_RollingAvg_Away,GoalDifference,FTHG_Standardized,FTAG_Standardized,HS_Standardized,AS_Standardized,GoalDifference_Standardized,HistoricalPerformance_Home,HistoricalPerformance_Away,ImpliedProbability_HomeWin,ImpliedProbability_AwayWin,ImpliedProbability_Draw
1.0,2.0,A,0.0,1.0,A,15.0,4.0,3.0,3.0,8.0,18.0,8.0,0.0,1.0,5.0,0.0,0.0,1.83,3.6,5.0,2.0,7.0,1.0,1.6,0,1,1,0,19.8,14.8,3.8,4.4,9.4,8.2,11.8,9.2,2.2,0.8,1.0,1.4,1.0,1.6,-1.0,-0.4125195608888655,0.6850998387322115,0.21448310085060324,-1.4761559972802323,-0.7278757128818752,1.0956521739130434,0.7,0.5464480874316939,0.2,0.2777777777777778
0.0,3.0,A,0.0,1.0,A,9.0,18.0,1.0,7.0,9.0,12.0,4.0,9.0,4.0,1.0,0.0,0.0,2.88,3.6,2.5,14.0,16.0,2.0,2.2,0,4,1,0,10.2,11.4,3.8,4.2,4.8,4.6,9.4,10.0,1.4,2.2,2.0,1.4,1.2,2.2,-3.0,-1.171928317535996,1.539940165281933,-0.8797164013243017,1.4305123062769654,-1.8105025013624896,1.4301675977653632,1.3333333333333333,0.3472222222222222,0.4,0.2777777777777778
1.0,0.0,H,1.0,0.0,H,12.0,25.0,4.0,5.0,11.0,8.0,7.0,7.0,5.0,3.0,0.0,0.0,2.1,3.6,3.7,16.0,4.0,1.2,1.4,1,0,0,1,11.0,15.0,3.8,5.6,5.0,7.0,10.8,10.8,2.8,1.6,1.2,1.0,1.2,1.4,1.0,-0.4125195608888655,-1.0245808143672315,-0.3326166502368492,2.883846458055564,0.35475107559873925,1.6458333333333333,0.98,0.47619047619047616,0.27027027027027023,0.2777777777777778
2.0,0.0,H,1.0,0.0,H,7.0,7.0,3.0,2.0,12.0,16.0,5.0,3.0,1.0,5.0,0.0,0.0,2.2,3.25,3.75,30.0,42.0,0.8,1.0,1,0,0,2,12.4,10.4,4.4,3.2,6.0,5.6,11.6,8.0,1.6,1.2,0.8,1.0,0.6,1.0,2.0,0.346889195758265,-1.0245808143672315,-1.2444495687159367,-0.8532985036608327,0.8960644698390464,1.3781512605042017,0.0,0.45454545454545453,0.26666666666666666,0.3076923076923077
0.0,1.0,A,0.0,1.0,A,17.0,10.0,6.0,5.0,13.0,16.0,4.0,2.0,2.0,1.0,0.0,0.0,2.1,3.4,3.5,29.0,4.0,0.8,1.0,0,1,1,0,13.8,14.4,5.6,6.8,4.8,5.2,11.4,10.2,1.8,1.4,0.8,0.8,1.0,1.0,-1.0,-1.171928317535996,-0.16974048781750994,0.5792162682422383,-0.23044101004143328,-0.7278757128818752,0.9090909090909091,0.890625,0.47619047619047616,0.2857142857142857,0.29411764705882354
2.0,3.0,A,2.0,2.0,D,13.0,7.0,3.0,5.0,9.0,6.0,4.0,4.0,1.0,2.0,0.0,0.0,3.3,3.75,2.05,23.0,14.0,1.0,1.6,0,1,2,0,13.6,14.8,3.4,5.4,6.6,5.4,12.4,15.0,2.6,3.2,1.0,1.6,1.6,1.6,-1.0,0.346889195758265,1.539940165281933,-0.15025006654103176,-0.8532985036608327,-0.7278757128818752,1.3902439024390243,1.0489296636085628,0.30303030303030304,0.48780487804878053,0.26666666666666666
0.0,1.0,A,0.0,0.0,D,16.0,16.0,4.0,6.0,11.0,12.0,11.0,9.0,2.0,2.0,0.0,0.0,2.0,3.5,4.2,14.0,21.0,2.0,1.2,0,1,2,0,16.2,15.8,6.0,6.4,7.8,7.4,9.6,10.0,0.8,2.0,2.0,2.0,1.4,1.2,-1.0,-1.171928317535996,-0.16974048781750994,0.3968496845464207,1.0152739771973656,-0.7278757128818752,1.4375,1.1142857142857143,0.5,0.23809523809523808,0.2857142857142857
1.0,1.0,D,1.0,0.0,H,12.0,9.0,8.0,3.0,6.0,14.0,5.0,6.0,0.0,1.0,0.0,0.0,2.4,3.25,3.0,29.0,9.0,1.2,1.0,0,0,0,0,15.6,14.8,10.0,9.0,4.8,7.6,9.6,9.2,1.6,0.8,1.2,1.0,1.6,1.0,0.0,-0.4125195608888655,-0.16974048781750994,-0.3326166502368492,-0.4380601745812331,-0.18656231864156803,1.2115384615384615,1.0655737704918034,0.4166666666666667,0.3333333333333333,0.3076923076923077
1.0,3.0,A,0.0,0.0,D,23.0,14.0,8.0,7.0,7.0,4.0,5.0,6.0,1.0,2.0,0.0,0.0,5.0,3.75,1.8,1.0,9.0,2.4,2.0,0,4,2,0,19.2,16.0,7.2,5.6,7.6,7.0,9.6,8.4,1.0,0.6,2.4,1.4,1.0,2.0,-2.0,-0.4125195608888655,1.539940165281933,1.6734157704171433,0.600035648117766,-1.2691891071221824,1.4216867469879517,1.1077844311377245,0.2,0.5555555555555556,0.26666666666666666
0.0,0.0,D,0.0,0.0,D,7.0,18.0,1.0,4.0,6.0,11.0,2.0,6.0,3.0,1.0,0.0,0.0,10.0,5.0,1.33,2.0,20.0,0.4,1.6,0,0,0,0,11.2,11.8,2.4,3.6,6.0,4.2,9.2,5.6,1.6,1.6,0.4,1.8,1.2,1.6,0.0,-1.171928317535996,-1.0245808143672315,-1.2444495687159367,1.4305123062769654,-0.18656231864156803,1.119047619047619,1.6625,0.1,0.7518796992481203,0.2
